,JND_arith,JND_arith,JND_arith,JND_arith,JND_arith,JND_arith,logJND,logJND,logJND,logJND,logJND,logJND
,count,mean,median,std,min,max,count,mean,median,std,min,max
TimeOfDay,,,,,,,,,,,,
Afternoon,16,9.118875000000001,3.3845,11.593101551497483,1.735,43.261,16,0.7029543802132638,0.5294920113805583,0.4590614703750556,0.23929947912689253,1.6360965541567574
Evening,16,11.308125,3.5885000000000002,14.180086350818414,1.125,52.758,16,0.7397100058754573,0.5505083402267933,0.5469962258326242,0.05115252244738129,1.7222883235417417
Morning,16,10.390374999999999,4.714,14.290308556850688,1.42,46.451,16,0.7500876887592386,0.6728117943865914,0.45749932057669596,0.15228834438305647,1.6669950679487586
