TimeOfDay,Chronotype,count,mean,std
Afternoon,Depends,7,0.6256893279855952,0.5051162519466241
Afternoon,Morning,5,0.8157789660483191,0.543852567706268
Afternoon,Night,4,0.697137489317865,0.3374082470163606
Evening,Depends,8,0.6773891562185382,0.6060951198954596
Evening,Morning,4,0.8737088136804445,0.6872530172660763
Evening,Night,4,0.7303528973843083,0.36351058034571543
Morning,Depends,7,0.5963970157819855,0.5174448569630961
Morning,Morning,5,0.8000155097353048,0.3428563391427962
Morning,Night,4,0.9566365902493488,0.48799862557509327
